classifier,group,timeframe,instrument,window,bars_per_year,share_bull,drift_bull,vol_bull,ac1_bull,eff_bull,share_bear,drift_bear,vol_bear,ac1_bear,eff_bear,share_chop,drift_chop,vol_chop,ac1_chop,eff_chop,s1,kw_h,d_eff,d_ac1,n_bars,s1_null_mean,s1_null_p5,s1_null_p95,s1_z,s1_p,kw_h_null_mean,kw_h_null_p5,kw_h_null_p95,kw_h_z,kw_h_p,d_eff_null_mean,d_eff_null_p5,d_eff_null_p95,d_eff_z,d_eff_p,d_ac1_null_mean,d_ac1_null_p5,d_ac1_null_p95,d_ac1_z,d_ac1_p
ADX,crypto,4h,BTC-USD,OOS,2188,0.292906,-0.000367,0.388684,-0.067422,0.275816,0.410374,-0.000199,0.483412,0.040169,0.170853,0.296720,0.000013,0.439704,-0.023107,0.405309,-0.000168,2.130917,-0.181974,0.009480,1312,-0.000194,-0.001149,0.000803,0.041921,0.470199,1.908555,0.121867,5.498491,0.124418,0.331126,-0.144247,-0.242908,-0.046781,-0.604577,0.728477,0.007025,-0.120551,0.131796,0.030851,0.496689
ER,crypto,4h,BTC-USD,FULL,2188,0.175132,-0.000120,0.427574,-0.004182,0.361742,0.155137,-0.000043,0.576314,0.014609,0.329008,0.669731,0.000144,0.444447,-0.007876,0.343373,-0.000077,4.024452,0.002002,0.013089,4372,-0.000126,-0.000962,0.000670,0.098131,0.503311,3.439073,0.423377,9.373239,0.195697,0.324503,0.018201,-0.026649,0.064137,-0.575770,0.715232,0.009717,-0.075138,0.104086,0.063391,0.476821
ER,crypto,4h,BTC-USD,IS,2188,0.194801,0.000193,0.444091,-0.017263,0.338460,0.145443,0.000049,0.587701,-0.049732,0.335325,0.659756,0.000224,0.450110,-0.012604,0.361945,0.000144,1.801776,-0.025052,-0.020893,3060,,,,,,,,,,,,,,,,,,,,
ER,crypto,4h,BTC-USD,OOS,2188,0.129672,-0.001209,0.359639,0.046722,0.429798,0.177727,-0.000218,0.553980,0.153342,0.312426,0.692601,0.000015,0.426339,-0.005535,0.298270,-0.000991,5.944388,0.072842,0.105567,1312,-0.000264,-0.001918,0.001254,-0.755244,0.807947,2.390841,0.169412,7.082458,1.478999,0.072848,0.020552,-0.063718,0.125776,0.862075,0.178808,-0.000175,-0.144644,0.132568,1.205741,0.112583
HMM,crypto,4h,BTC-USD,FULL,2188,0.403356,0.000016,0.451647,-0.031422,0.299483,0.169157,0.000074,0.684584,0.013985,0.199590,0.427488,0.000116,0.356417,-0.005716,0.228044,-0.000058,0.169371,0.021492,-0.003003,4372,-0.000152,-0.000960,0.000738,0.184526,0.443709,1.784954,0.066879,5.611187,-0.910636,0.894040,0.009291,-0.044999,0.061163,0.354019,0.390728,-0.001316,-0.067708,0.057618,-0.042098,0.516556
HMM,crypto,4h,BTC-USD,IS,2188,0.384995,0.000210,0.469895,-0.014671,0.307569,0.173741,0.000077,0.698809,-0.036125,0.173148,0.441264,0.000222,0.344830,0.001521,0.195990,0.000132,0.941887,0.044368,-0.026919,3060,,,,,,,,,,,,,,,,,,,,
HMM,crypto,4h,BTC-USD,OOS,2188,0.446224,-0.000373,0.412139,-0.078558,0.285668,0.158658,0.000065,0.647071,0.165184,0.283322,0.395118,-0.000073,0.374018,-0.044550,0.270221,-0.000438,0.656077,0.014274,0.087863,1312,-0.000289,-0.001999,0.001204,-0.156575,0.609272,1.791648,0.087888,4.962956,-0.705155,0.735099,0.013094,-0.067135,0.115968,0.021576,0.483444,0.000350,-0.111484,0.108186,1.238197,0.112583
ADX,crypto,4h,DOGE-USD,FULL,2188,0.285087,0.000639,1.044173,-0.008072,0.229067,0.385202,0.000077,0.922385,-0.029362,0.212458,0.329711,-0.000451,0.721792,0.075645,0.428838,0.000562,1.882044,-0.208075,-0.094362,4368,0.000512,-0.000677,0.001545,0.068195,0.529801,2.042471,0.065958,6.499675,-0.076665,0.403974,-0.159198,-0.214493,-0.096554,-1.267281,0.920530,-0.012944,-0.087024,0.074781,-1.620899,0.960265
ADX,crypto,4h,DOGE-USD,IS,2188,0.290312,0.001133,1.143676,-0.032626,0.253082,0.389847,0.000042,1.025954,-0.044240,0.197669,0.319841,-0.000172,0.786272,0.058974,0.462771,0.001091,0.467231,-0.237395,-0.097407,3057,,,,,,,,,,,,,,,,,,,,
ADX,crypto,4h,DOGE-USD,OOS,2188,0.272519,-0.000552,0.745030,0.141054,0.180356,0.374809,0.000161,0.606532,0.071307,0.241395,0.352672,-0.001035,0.563009,0.138135,0.351545,-0.000713,2.359124,-0.140670,-0.031955,1311,0.000407,-0.002255,0.002490,-0.766135,0.794702,2.010323,0.082232,5.895926,0.179622,0.331126,-0.149597,-0.248386,-0.041499,0.123776,0.456954,-0.010743,-0.144846,0.146003,-0.250113,0.536424
ER,crypto,4h,DOGE-USD,FULL,2188,0.140327,0.001389,1.125573,0.001225,0.408298,0.177364,0.000085,1.083737,-0.025831,0.359986,0.682310,-0.000185,0.787359,0.020984,0.334528,0.001304,1.792428,0.049614,-0.033287,4368,0.000840,-0.001076,0.002651,0.405956,0.350993,2.301923,0.118154,6.600534,-0.193667,0.450331,0.019761,-0.030747,0.081932,0.883554,0.185430,-0.019634,-0.106890,0.066305,-0.266127,0.635762
ER,crypto,4h,DOGE-USD,IS,2188,0.168972,0.002106,1.160151,-0.017597,0.393726,0.165679,0.000342,1.261860,-0.038023,0.340911,0.665349,-0.000142,0.860757,0.000951,0.342281,0.001763,2.964591,0.025038,-0.028761,3057,,,,,,,,,,,,,,,,,,,,
