group,timeframe,instrument,method,family,n_bars,n_segments,flips_py,dur_mean,dur_med,dur_p25,dur_p75,hit,fwd_bar,capture,hit_rem,rem_mean,dur_mean_null,dur_mean_z,dur_mean_p,dur_mean_n5,dur_mean_n95,dur_med_null,dur_med_z,dur_med_p,dur_med_n5,dur_med_n95,hit_null,hit_z,hit_p,hit_n5,hit_n95,fwd_bar_null,fwd_bar_z,fwd_bar_p,fwd_bar_n5,fwd_bar_n95,capture_null,capture_z,capture_p,capture_n5,capture_n95,flips_py_null,flips_py_z,flips_py_p,flips_py_n5,flips_py_n95,beats_null
futures,1d,YM=F,donch20,Donchian,1741,44,6.21415,39.09302,29.00000,19.50000,56.00000,0.51121,-0.00010,-0.09281,0.45449,0.00861,42.63931,-0.60196,0.70330,34.41900,53.10312,31.57950,-0.50446,0.70330,24.50000,40.52500,0.50712,0.31813,0.38661,0.48530,0.52812,0.00002,-0.42566,0.67532,-0.00045,0.00049,-0.08693,-0.12615,0.54945,-0.16550,-0.01246,5.87146,0.43609,0.65634,4.64034,7.11434,False
futures,1d,YM=F,donch55,Donchian,1677,15,2.10042,117.64286,69.50000,55.75000,79.00000,0.53254,0.00001,-0.06503,0.38273,0.00928,110.33898,0.27010,0.31400,77.83254,155.38000,81.59409,-0.52224,0.67200,56.00000,124.05000,0.51107,1.50373,0.06993,0.48813,0.53495,0.00009,-0.25659,0.60440,-0.00040,0.00059,-0.07951,0.25520,0.39200,-0.17221,0.01185,2.24788,-0.29472,0.41059,1.47909,3.02561,False
futures,1d,YM=F,tsmom20,TS momentum,1741,138,19.79857,12.46715,4.00000,1.00000,21.00000,0.51869,0.00013,0.04639,0.58280,0.00707,10.42249,1.68698,0.06094,8.66000,12.63249,3.77000,0.29079,0.57942,3.00000,5.00000,0.50580,1.04014,0.15684,0.48504,0.52616,0.00001,0.42472,0.34366,-0.00045,0.00047,0.02680,0.37979,0.36364,-0.05969,0.11245,24.23248,-1.60313,0.05095,19.80272,28.91963,False
futures,1d,YM=F,tsmom60,TS momentum,1701,86,12.57264,19.56471,4.00000,2.00000,16.00000,0.52089,0.00003,0.00085,0.48796,0.00547,19.46761,0.02410,0.40759,13.92455,26.32068,3.85750,0.13970,0.57343,3.00000,6.00000,0.50937,0.86331,0.19980,0.48734,0.53149,0.00006,-0.09802,0.55644,-0.00042,0.00053,0.00585,-0.06724,0.51648,-0.11130,0.12916,13.08457,-0.19816,0.41658,9.17603,17.61205,False
futures,1d,YM=F,tsmom120,TS momentum,1641,55,8.27937,29.20370,4.00000,1.25000,23.25000,0.52044,0.00003,-0.15347,0.46022,0.00372,30.96100,-0.14571,0.46254,17.41167,53.51000,4.15350,-0.07421,0.51648,2.00000,8.00000,0.51239,0.52231,0.31469,0.48687,0.53691,0.00011,-0.25590,0.60140,-0.00046,0.00064,0.00123,-1.60806,0.95504,-0.14825,0.15255,8.58588,-0.10807,0.47852,4.29562,13.50053,False
futures,1d,YM=F,swing5,Swing structure,1719,43,6.14731,40.09524,25.00000,16.25000,54.25000,0.52242,-0.00016,-0.11302,0.44478,0.00592,42.53697,-0.40138,0.63636,33.83509,54.09531,31.66300,-1.18687,0.92707,24.00000,41.05000,0.50642,1.22315,0.12188,0.48436,0.52756,0.00002,-0.63256,0.73926,-0.00044,0.00051,-0.09082,-0.45421,0.66933,-0.16810,-0.01163,5.88921,0.31667,0.65335,4.51877,7.28233,False
futures,1d,ZB=F,sma50,50-SMA state,1712,123,17.92950,14.00820,4.00000,2.00000,18.75000,0.49911,0.00011,0.12708,0.50317,0.00594,13.21101,0.38576,0.29570,10.29475,16.89600,3.60900,0.47675,0.46354,3.00000,5.00000,0.49710,0.16865,0.43257,0.47811,0.51653,-0.00000,0.64066,0.26074,-0.00028,0.00027,0.04482,1.46660,0.07493,-0.04439,0.13647,19.20312,-0.45059,0.32268,14.70490,23.96898,False
futures,1d,ZB=F,sma10_40,10/40 crossover,1722,49,7.01326,35.58333,30.50000,11.50000,49.25000,0.49677,0.00011,-0.17688,0.42684,0.00482,32.09057,0.84811,0.18881,26.32280,39.48953,25.10800,1.32765,0.09990,19.00000,32.00000,0.49970,-0.24893,0.60639,0.48035,0.51906,0.00001,0.54567,0.30070,-0.00025,0.00028,-0.16195,-0.32933,0.60739,-0.23282,-0.08722,7.83296,-0.83857,0.19081,6.28636,9.35645,False
futures,1d,ZB=F,donch20,Donchian,1741,39,5.49157,45.47368,35.00000,19.75000,65.50000,0.50203,0.00010,-0.06080,0.46647,0.01177,41.76416,0.71109,0.20979,34.29900,51.21364,32.06150,0.58217,0.26174,25.47500,42.00000,0.49856,0.29970,0.38362,0.47986,0.51753,-0.00001,0.60074,0.27672,-0.00028,0.00028,-0.08635,0.61457,0.28172,-0.15556,-0.01595,5.99736,-0.68856,0.23776,4.78811,7.23823,False
futures,1d,ZB=F,donch55,Donchian,1682,23,3.29085,73.13636,60.50000,49.25000,86.75000,0.48587,-0.00027,-0.11952,0.20783,-0.01095,105.76016,-1.39254,0.98102,77.56786,147.60000,82.22250,-1.04401,0.90210,56.00000,122.00000,0.50047,-1.24226,0.89610,0.48156,0.52046,0.00000,-1.54842,0.94406,-0.00028,0.00030,-0.07368,-0.96236,0.83916,-0.15236,0.00150,2.34779,1.99138,0.98002,1.62030,3.13010,False
