market,dir,signal_date,entry_date,exit_date,entry_px,exit_px,contracts,gross_pnl,net_pnl,pnl_R,mae_R,mfe_R,bars_held,exit_reason,sig_own_i,ent_own_i,N,K
SI=F,L,2002-05-29,2002-05-30,2002-06-13,4.973999862670898,4.866193718182867,0.266140736255507,-28.69160666691224,-29.0908177712955,-0.4430160422743952,-0.4093502284007367,0.7133261070893258,10,stop,433,434,50,4
6A=F,L,2002-03-15,2002-03-18,2002-06-17,0.5255999995231628,0.555300013923645,0.4365794744392004,129.66416677799202,129.0092975663332,1.9719327339717068,-0.4737994228764063,3.4500472923069307,64,gap_stop,277,278,50,4
ZW=F,L,2002-06-13,2002-06-14,2002-07-29,295.875,326.38970552447864,0.15948660098778272,243.33433321211072,243.09510331062904,3.687296741089511,-0.9827644881560537,5.579078401993597,30,stop,455,456,50,4
ES=F,S,2002-04-26,2002-04-29,2002-07-31,1072.0,915.134461763946,0.18661935395253731,146.3707270151472,146.09079798421837,2.2358261283356273,-0.5283765998600075,4.298415042104385,67,stop,402,403,50,4
6E=F,L,2002-06-26,2002-06-27,2002-08-06,0.9790999723434448,0.9700408823926653,0.14555977668688033,-16.48298887777288,-16.7013285428032,-0.25054177493965146,-0.2865957255087861,1.0754165726323923,28,stop,447,448,50,4
GC=F,S,2002-07-26,2002-07-29,2002-08-07,302.4,315.3189872164809,0.5612379598334333,-72.50626028491945,-73.34811722466961,-1.0177516278774386,-0.5607028158493916,0.3426514303276311,7,stop,472,473,50,4
6B=F,L,2002-04-01,2002-04-02,2002-08-08,1.4349000288009643,1.5266138046500448,0.31763065307484656,182.069415743147,181.59296976353474,2.728755580302346,-0.36095778512976723,4.62679056448286,92,stop,299,300,50,4
NG=F,S,2002-06-12,2002-06-13,2002-08-19,3.048499952316284,3.2591382788417556,0.010715330912549493,-22.57059371586078,-22.586666712229608,-0.3416055493041117,-0.8613538646779961,0.6620187041002805,46,stop,442,443,50,4
ZW=F,L,2002-08-06,2002-08-07,2002-08-21,342.125,338.625,0.08751020288998626,-15.314285505747597,-15.445550810082576,-0.21872784422875954,-0.19363300657645144,1.0456182355128378,10,gap_stop,492,493,50,4
NQ=F,S,2002-06-07,2002-06-10,2002-08-22,1138.75,1054.2461554818703,0.17114376364673228,28.92461198690199,28.667896341431895,0.43148925475225947,-0.16614793680006132,1.4515405021214658,53,stop,432,433,50,4
HG=F,S,2002-08-07,2002-08-08,2002-09-10,0.6724999780654908,0.700537704993608,0.7231302255578305,-50.68731949414568,-51.77201483248243,-0.735775521285973,-0.513850945400812,0.24407874454769635,22,stop,481,482,50,4
SI=F,S,2002-07-31,2002-08-01,2002-09-12,4.574999923706055,4.605955259031425,0.2504292560482904,-7.752121596257935,-8.127765480330371,-0.11499294280746035,-0.3436820546707072,0.612958573239468,29,stop,476,477,50,4
6A=F,S,2002-08-05,2002-08-06,2002-09-12,0.5259999798774719,0.5522818474419585,0.2433098301249145,-63.94636732480731,-64.31133206999468,-0.8992843399267914,-0.9526378551384653,0.15650473803941392,27,stop,377,378,50,4
ZC=F,L,2002-09-09,2002-09-10,2002-09-13,278.375,268.625,0.12959728949733593,-63.17867862995127,-63.373074564197275,-0.882847510574146,-0.3497989880853595,0.2369606048320177,3,gap_stop,503,504,50,4
ZW=F,L,2002-08-30,2002-09-03,2002-09-13,368.375,394.625,0.1112276858307489,145.98633765285794,145.8194961241118,2.094835182369698,-0.08988137224126279,3.7250835384434473,8,gap_stop,510,511,50,4
GC=F,L,2002-09-24,2002-09-25,2002-10-15,322.3000122070313,314.39585756092396,0.68613697268248,-54.23332740494232,-55.26253286396604,-0.775423512836822,-0.5776596319152753,0.18292480578356074,14,stop,513,514,50,4
ZB=F,L,2002-06-11,2002-06-12,2002-10-15,103.109375,109.66711195275339,0.01816237259351761,119.1040619061858,119.07681834729554,1.8051598855784106,-0.22799688831840403,3.2997296414953463,87,stop,430,431,50,4
ZC=F,S,2002-10-14,2002-10-15,2002-10-16,245.125,254.375,0.18644801941440658,-86.23220897916305,-86.51188100828465,-1.2245666747930803,-0.21443112570460732,0.0,1,gap_stop,528,529,50,4
YM=F,S,2002-09-24,2002-09-25,2002-10-17,7639.0,8287.691682691335,0.15707410551013393,-50.94633290530252,-51.18194406356772,-0.7181661933101112,-0.6843438667251063,0.5124313977893308,16,stop,119,120,50,4
HG=F,S,2002-09-24,2002-09-25,2002-10-17,0.6695000166893006,0.6864999895095825,0.8011316709604541,-34.0480415794868,-35.24973908592748,-0.49461135948790574,-0.2529260911471498,0.407494215557654,16,gap_stop,514,515,50,4
ZN=F,L,2002-05-22,2002-05-23,2002-10-17,105.8828353881836,112.77313443107758,0.02510578166948563,172.98634340836222,172.948684735858,2.655947930419136,-0.1415852682412876,4.069307212690205,102,stop,416,417,50,4
NQ=F,S,2002-09-23,2002-09-24,2002-10-18,850.75,962.0376381841525,0.2322701296478349,-51.697588298468865,-52.04599349294062,-0.7293847959891581,-0.7112367794726225,0.34666689708848647,18,stop,508,509,50,4
CL=F,L,2002-08-16,2002-08-19,2002-10-25,29.430000076293947,27.702042598568926,0.21796042406265012,-37.66263446071728,-37.98957509681126,-0.5435101615881247,-0.5644159369241731,0.6111907818338522,48,stop,492,493,50,4
ZB=F,S,2002-10-21,2002-10-22,2002-11-08,107.890625,112.70199647136737,0.01263110291694725,-60.77292822650512,-60.79187488088055,-0.8949229279429282,-0.8047973262089169,0.15398459196588185,13,stop,522,523,50,4
ZC=F,S,2002-11-04,2002-11-05,2002-11-15,243.875,244.375,0.1966080757399982,-4.915201893499955,-5.2101140071099525,-0.07695971992545864,-0.09075438670455027,1.2887122912046138,8,gap_stop,543,544,50,4
CL=F,S,2002-10-25,2002-10-28,2002-12-12,27.06999992370605,28.191099055245413,0.20730011737364332,-23.240398155559962,-23.551348331620428,-0.3483468439505192,-0.275954745706594,0.6898874023052409,31,stop,541,542,50,4
HG=F,L,2002-10-25,2002-10-28,2002-12-16,0.7154999737739562,0.7195000286102295,0.8017219362921981,8.017329271530011,6.814746367091713,0.10079658098014004,-0.5484415701723888,1.4081659338251522,33,gap_stop,537,538,50,4
